,team1,team1score,team1seed,team2,team2score,team2seed,result,year,round,wteam,lteam,wscore,lscore
552,Cornell,87,12,Wisconsin,69,4,0,2010,2,Cornell,Wisconsin,87,69
553,Northern Iowa,69,9,Kansas,67,1,0,2010,2,Northern Iowa,Kansas,69,67
554,Kansas St.,84,2,BYU,72,7,0,2010,2,Kansas St.,BYU,84,72
555,Duke,68,1,California,53,8,0,2010,2,Duke,California,68,53
556,Michigan St.,85,5,Maryland,83,4,0,2010,2,Michigan St.,Maryland,85,83
557,Kentucky,90,1,Wake Forest,60,9,0,2010,2,Kentucky,Wake Forest,90,60
558,Purdue,63,4,Texas A&M,61,5,0,2010,2,Purdue,Texas A&M,63,61
559,Butler,54,5,Murray St.,52,13,0,2010,2,Butler,Murray St.,54,52
560,West Virginia,68,2,Missouri,59,10,0,2010,2,West Virginia,Missouri,68,59
561,West Virginia,69,2,Washington,56,11,0,2010,3,West Virginia,Washington,69,56
562,Kansas St.,101,2,Xavier,96,6,0,2010,3,Kansas St.,Xavier,101,96
563,Michigan St.,59,5,Northern Iowa,52,9,0,2010,3,Michigan St.,Northern Iowa,59,52
564,Tennessee,76,6,Ohio St.,73,2,0,2010,3,Tennessee,Ohio St.,76,73
565,Butler,63,5,Syracuse,59,1,0,2010,3,Butler,Syracuse,63,59
566,Baylor,72,3,Saint Mary's,49,10,0,2010,3,Baylor,Saint Mary's,72,49
567,Duke,70,1,Purdue,57,4,0,2010,3,Duke,Purdue,70,57
568,Kentucky,62,1,Cornell,45,12,0,2010,3,Kentucky,Cornell,62,45
569,Duke,78,1,Baylor,71,3,0,2010,4,Duke,Baylor,78,71
570,Michigan St.,70,5,Tennessee,69,6,0,2010,4,Michigan St.,Tennessee,70,69
571,West Virginia,73,2,Kentucky,66,1,0,2010,4,West Virginia,Kentucky,73,66
572,Butler,63,5,Kansas St.,56,2,0,2010,4,Butler,Kansas St.,63,56
573,Butler,52,5,Michigan St.,50,5,0,2010,5,Butler,Michigan St.,52,50
574,Duke,78,1,West Virginia,57,2,0,2010,5,Duke,West Virginia,78,57
575,Duke,61,1,Butler,59,5,0,2010,6,Duke,Butler,61,59
576,UTSA,70,16,Alabama St.,61,16,0,2011,0,Texas-San Antonio,Alabama St.,70,61
577,VCU,59,11,USC,46,11,0,2011,0,VCU,USC,59,46
578,Clemson,70,12,UAB,52,12,0,2011,0,Clemson,UAB,70,52
579,UNC Asheville,81,16,Arkansas Little Rock,77,16,0,2011,0,UNC Asheville,Arkansas Little Rock,81,77
580,Gonzaga,86,11,St. John's,71,6,0,2011,1,Gonzaga,St. John's,86,71
581,Washington,68,7,Georgia,65,10,0,2011,1,Washington,Georgia,68,65
582,Marquette,66,11,Xavier,55,6,0,2011,1,Marquette,Xavier,66,55
583,Purdue,65,3,Saint Peter's,43,14,0,2011,1,Purdue,St. Peter's,65,43
584,VCU,74,11,Georgetown,56,6,0,2011,1,VCU,Georgetown,74,56
585,Cincinnati,78,6,Missouri,63,11,0,2011,1,Cincinnati,Missouri,78,63
586,Texas,85,4,Oakland,81,13,0,2011,1,Texas,Oakland,85,81
587,Kansas St.,73,5,Utah St.,68,12,0,2011,1,Kansas St.,Utah St.,73,68
588,Morehead St.,62,13,Louisville,61,4,0,2011,1,Morehead St.,Louisville,62,61
589,Syracuse,77,3,Indiana St.,60,14,0,2011,1,Syracuse,Indiana St.,77,60
590,Illinois,73,9,UNLV,62,8,0,2011,1,Illinois,UNLV,73,62
591,Arizona,77,5,Memphis,75,12,0,2011,1,Arizona,Memphis,77,75
592,George Mason,61,8,Villanova,57,9,0,2011,1,George Mason,Villanova,61,57
593,Pittsburgh,74,1,UNC Asheville,51,16,0,2011,1,Pittsburgh,UNC Asheville,74,51
594,Kansas,72,1,Boston University,53,16,0,2011,1,Kansas,Boston University,72,53
595,BYU,74,3,Wofford,66,14,0,2011,1,BYU,Wofford,74,66
596,Duke,87,1,Hampton,45,16,0,2011,1,Duke,Hampton,87,45
597,Ohio St.,75,1,UTSA,46,16,0,2011,1,Ohio St.,Texas-San Antonio,75,46
598,Temple,66,7,Penn St.,64,10,0,2011,1,Temple,Penn St.,66,64
599,San Diego St.,68,2,Northern Colorado,50,15,0,2011,1,San Diego St.,Northern Colorado,68,50
600,Florida,79,2,UC Santa Barbara,51,15,0,2011,1,Florida,UC Santa Barbara,79,51
601,North Carolina,102,2,LIU Brooklyn,87,15,0,2011,1,North Carolina,LIU Brooklyn,102,87
602,Kentucky,59,4,Princeton,57,13,0,2011,1,Kentucky,Princeton,59,57
603,Notre Dame,69,2,Akron,56,15,0,2011,1,Notre Dame,Akron,69,56
604,Connecticut,81,3,Bucknell,52,14,0,2011,1,Connecticut,Bucknell,81,52
605,Florida St.,57,10,Texas A&M,50,7,0,2011,1,Florida St.,Texas A&M,57,50
606,Butler,60,8,Old Dominion,58,9,0,2011,1,Butler,Old Dominion,60,58
607,Michigan,75,8,Tennessee,45,9,0,2011,1,Michigan,Tennessee,75,45
608,West Virginia,84,5,Clemson,76,12,0,2011,1,West Virginia,Clemson,84,76
609,Wisconsin,72,4,Belmont,58,13,0,2011,1,Wisconsin,Belmont,72,58
610,Richmond,69,12,Vanderbilt,66,5,0,2011,1,Richmond,Vanderbilt,69,66
611,UCLA,78,7,Michigan St.,76,10,0,2011,1,UCLA,Michigan St.,78,76
612,North Carolina,86,2,Washington,83,7,0,2011,2,North Carolina,Washington,86,83
613,Connecticut,69,3,Cincinnati,58,6,0,2011,2,Connecticut,Cincinnati,69,58
614,Richmond,65,12,Morehead St.,48,13,0,2011,2,Richmond,Morehead St.,65,48
615,Wisconsin,70,4,Kansas St.,65,5,0,2011,2,Wisconsin,Kansas St.,70,65
616,Marquette,66,11,Syracuse,62,3,0,2011,2,Marquette,Syracuse,66,62
617,Arizona,70,5,Texas,69,4,0,2011,2,Arizona,Texas,70,69
618,Butler,71,8,Pittsburgh,70,1,0,2011,2,Butler,Pittsburgh,71,70
619,Kansas,73,1,Illinois,59,9,0,2011,2,Kansas,Illinois,73,59
620,Duke,73,1,Michigan,71,8,0,2011,2,Duke,Michigan,73,71
621,BYU,89,3,Gonzaga,67,11,0,2011,2,BYU,Gonzaga,89,67
622,VCU,94,11,Purdue,76,3,0,2011,2,VCU,Purdue,94,76
623,Florida St.,71,10,Notre Dame,57,2,0,2011,2,Florida St.,Notre Dame,71,57
624,Ohio St.,98,1,George Mason,66,8,0,2011,2,Ohio St.,George Mason,98,66
625,San Diego St.,71,2,Temple,64,7,0,2011,2,San Diego St.,Temple,71,64
626,Kentucky,71,4,West Virginia,63,5,0,2011,2,Kentucky,West Virginia,71,63
627,Florida,73,2,UCLA,65,7,0,2011,2,Florida,UCLA,73,65
628,North Carolina,81,2,Marquette,63,11,0,2011,3,North Carolina,Marquette,81,63
629,Kansas,77,1,Richmond,57,12,0,2011,3,Kansas,Richmond,77,57
630,Florida,83,2,BYU,74,3,0,2011,3,Florida,BYU,83,74
631,Arizona,93,5,Duke,77,1,0,2011,3,Arizona,Duke,93,77
632,VCU,72,11,Florida St.,71,10,0,2011,3,VCU,Florida St.,72,71
633,Kentucky,62,4,Ohio St.,60,1,0,2011,3,Kentucky,Ohio St.,62,60
634,Connecticut,74,3,San Diego St.,67,2,0,2011,3,Connecticut,San Diego St.,74,67
635,Butler,61,8,Wisconsin,54,4,0,2011,3,Butler,Wisconsin,61,54
636,Connecticut,65,3,Arizona,63,5,0,2011,4,Connecticut,Arizona,65,63
637,VCU,71,11,Kansas,61,1,0,2011,4,VCU,Kansas,71,61
638,Kentucky,76,4,North Carolina,69,2,0,2011,4,Kentucky,North Carolina,76,69
639,Butler,74,8,Florida,71,2,0,2011,4,Butler,Florida,74,71
640,Butler,70,8,VCU,62,11,0,2011,5,Butler,VCU,70,62
641,Connecticut,56,3,Kentucky,55,4,0,2011,5,Connecticut,Kentucky,56,55
642,Connecticut,53,3,Butler,41,8,0,2011,6,Connecticut,Butler,53,41
643,Western Kentucky,59,16,Mississippi Valley St.,58,16,0,2012,0,Western Kentucky,Mississippi Valley St.,59,58
644,Vermont,71,16,Lamar,59,16,0,2012,0,Vermont,Lamar,71,59
645,BYU,78,14,Iona,72,14,0,2012,0,BYU,Iona,78,72
646,South Florida,65,12,California,54,12,0,2012,0,South Florida,California,65,54
647,Georgetown,74,3,Belmont,59,14,0,2012,1,Georgetown,Belmont,74,59
648,Cincinnati,65,6,Texas,59,11,0,2012,1,Cincinnati,Texas,65,59
649,Norfolk St.,86,15,Missouri,84,2,0,2012,1,Norfolk St.,Missouri,86,84
650,Kansas St.,70,8,Southern Miss,64,9,0,2012,1,Kansas St.,Southern Mississippi,70,64
651,Louisville,69,4,Davidson,62,13,0,2012,1,Louisville,Davidson,69,62
652,Iowa St.,77,8,Connecticut,64,9,0,2012,1,Iowa St.,Connecticut,77,64
653,Syracuse,72,1,UNC Asheville,65,16,0,2012,1,Syracuse,UNC Asheville,72,65
654,Marquette,88,3,BYU,68,14,0,2012,1,Marquette,BYU,88,68
655,Baylor,68,3,South Dakota St.,60,14,0,2012,1,Baylor,South Dakota St.,68,60
656,Purdue,72,10,Saint Mary's,69,7,0,2012,1,Purdue,Saint Mary's,72,69
657,Creighton,58,8,Alabama,57,9,0,2012,1,Creighton,Alabama,58,57
658,Kansas,65,2,Detroit,50,15,0,2012,1,Kansas,Detroit,65,50
659,Lehigh,75,15,Duke,70,2,0,2012,1,Lehigh,Duke,75,70
660,Gonzaga,77,7,West Virginia,54,10,0,2012,1,Gonzaga,West Virginia,77,54
661,Florida St.,66,3,St. Bonaventure,63,14,0,2012,1,Florida St.,St. Bonaventure,66,63
662,Ohio St.,78,2,Loyola MD,59,15,0,2012,1,Ohio St.,Loyola (Md.),78,59
663,South Florida,58,12,Temple,44,5,0,2012,1,South Florida,Temple,58,44
664,N.C. State,79,11,San Diego St.,65,6,0,2012,1,North Carolina St.,San Diego St.,79,65
665,VCU,62,12,Wichita St.,59,5,0,2012,1,VCU,Wichita St.,62,59
666,Florida,71,7,Virginia,45,10,0,2012,1,Florida,Virginia,71,45
667,Murray St.,58,6,Colorado St.,41,11,0,2012,1,Murray St.,Colorado St.,58,41
668,New Mexico,75,5,Long Beach St.,68,12,0,2012,1,New Mexico,Long Beach St.,75,68
669,Indiana,79,4,New Mexico St.,66,13,0,2012,1,Indiana,New Mexico St.,79,66
670,Colorado,68,11,UNLV,64,6,0,2012,1,Colorado,UNLV,68,64
671,Michigan St.,89,1,LIU Brooklyn,67,16,0,2012,1,Michigan St.,LIU Brooklyn,89,67
672,North Carolina,77,1,Vermont,58,16,0,2012,1,North Carolina,Vermont,77,58
673,Kentucky,81,1,Western Kentucky,66,16,0,2012,1,Kentucky,Western Kentucky,81,66
674,Xavier,67,10,Notre Dame,63,7,0,2012,1,Xavier,Notre Dame,67,63
675,Saint Louis,61,9,Memphis,54,8,0,2012,1,Saint Louis,Memphis,61,54
676,Ohio,65,13,Michigan,60,4,0,2012,1,Ohio,Michigan,65,60
677,Wisconsin,73,4,Montana,49,13,0,2012,1,Wisconsin,Montana,73,49
678,Vanderbilt,79,5,Harvard,70,12,0,2012,1,Vanderbilt,Harvard,79,70
679,Xavier,70,10,Lehigh,58,15,0,2012,2,Xavier,Lehigh,70,58
680,Kansas,63,2,Purdue,60,10,0,2012,2,Kansas,Purdue,63,60
681,Cincinnati,62,6,Florida St.,56,3,0,2012,2,Cincinnati,Florida St.,62,56
682,Ohio,62,13,South Florida,56,12,0,2012,2,Ohio,South Florida,62,56
683,Baylor,80,3,Colorado,63,11,0,2012,2,Baylor,Colorado,80,63
684,Syracuse,75,1,Kansas St.,59,8,0,2012,2,Syracuse,Kansas St.,75,59
685,N.C. State,66,11,Georgetown,63,3,0,2012,2,North Carolina St.,Georgetown,66,63
686,Ohio St.,73,2,Gonzaga,66,7,0,2012,2,Ohio St.,Gonzaga,73,66
687,Indiana,63,4,VCU,61,12,0,2012,2,Indiana,VCU,63,61
688,Florida,84,7,Norfolk St.,50,15,0,2012,2,Florida,Norfolk St.,84,50
689,Marquette,62,3,Murray St.,53,6,0,2012,2,Marquette,Murray St.,62,53
690,Louisville,59,4,New Mexico,56,5,0,2012,2,Louisville,New Mexico,59,56
691,Michigan St.,65,1,Saint Louis,61,9,0,2012,2,Michigan St.,Saint Louis,65,61
692,North Carolina,87,1,Creighton,73,8,0,2012,2,North Carolina,Creighton,87,73
693,Kentucky,87,1,Iowa St.,71,8,0,2012,2,Kentucky,Iowa St.,87,71
694,Wisconsin,60,4,Vanderbilt,57,5,0,2012,2,Wisconsin,Vanderbilt,60,57
695,Ohio St.,81,2,Cincinnati,66,6,0,2012,3,Ohio St.,Cincinnati,81,66
696,Syracuse,64,1,Wisconsin,63,4,0,2012,3,Syracuse,Wisconsin,64,63
697,Florida,68,7,Marquette,58,3,0,2012,3,Florida,Marquette,68,58
698,Kansas,60,2,N.C. State,57,11,0,2012,3,Kansas,North Carolina St.,60,57
699,Baylor,75,3,Xavier,70,10,0,2012,3,Baylor,Xavier,75,70
700,Louisville,57,4,Michigan St.,44,1,0,2012,3,Louisville,Michigan St.,57,44
701,North Carolina,73,1,Ohio,65,13,0,2012,3,North Carolina,Ohio,73,65
702,Kentucky,102,1,Indiana,90,4,0,2012,3,Kentucky,Indiana,102,90
703,Louisville,72,4,Florida,68,7,0,2012,4,Louisville,Florida,72,68
704,Ohio St.,77,2,Syracuse,70,1,0,2012,4,Ohio St.,Syracuse,77,70
705,Kansas,80,2,North Carolina,67,1,0,2012,4,Kansas,North Carolina,80,67
706,Kentucky,82,1,Baylor,70,3,0,2012,4,Kentucky,Baylor,82,70
707,Kansas,64,2,Ohio St.,62,2,0,2012,5,Kansas,Ohio St.,64,62
708,Kentucky,69,1,Louisville,61,4,0,2012,5,Kentucky,Louisville,69,61
709,Kentucky,67,1,Kansas,59,2,0,2012,6,Kentucky,Kansas,67,59
710,La Salle,80,13,Boise St.,71,13,0,2013,0,La Salle,Boise St.,80,71
711,James Madison,68,16,LIU Brooklyn,55,16,0,2013,0,James Madison,LIU Brooklyn,68,55
712,Saint Mary's,67,11,Middle Tennessee,54,11,0,2013,0,Saint Mary's,Middle Tennessee,67,54
713,North Carolina A&T,73,16,Liberty,72,16,0,2013,0,North Carolina A&T,Liberty,73,72
714,California,64,12,UNLV,61,5,0,2013,1,California,UNLV,64,61
715,Saint Louis,64,4,New Mexico St.,44,13,0,2013,1,Saint Louis,New Mexico St.,64,44
716,Oregon,68,12,Oklahoma St.,55,5,0,2013,1,Oregon,Oklahoma St.,68,55
717,Florida Gulf Coast,78,15,Georgetown,68,2,0,2013,1,Florida Gulf Coast,Georgetown,78,68
718,Illinois,57,7,Colorado,49,10,0,2013,1,Illinois,Colorado,57,49
719,Louisville,79,1,North Carolina A&T,48,16,0,2013,1,Louisville,North Carolina A&T,79,48
720,Syracuse,81,4,Montana,34,13,0,2013,1,Syracuse,Montana,81,34
721,La Salle,63,13,Kansas St.,61,4,0,2013,1,La Salle,Kansas St.,63,61
722,Marquette,59,3,Davidson,58,14,0,2013,1,Marquette,Davidson,59,58
723,Temple,76,9,N.C. State,72,8,0,2013,1,Temple,North Carolina St.,76,72
724,Arizona,81,6,Belmont,64,11,0,2013,1,Arizona,Belmont,81,64
725,Miami FL,78,2,Pacific,49,15,0,2013,1,Miami FL,Pacific,78,49
726,Wichita St.,73,9,Pittsburgh,55,8,0,2013,1,Wichita St.,Pittsburgh,73,55
727,Creighton,67,7,Cincinnati,63,10,0,2013,1,Creighton,Cincinnati,67,63
728,Kansas,64,1,Western Kentucky,57,16,0,2013,1,Kansas,Western Kentucky,64,57
729,Duke,73,2,Albany,61,15,0,2013,1,Duke,Albany,73,61
730,Gonzaga,64,1,Southern,58,16,0,2013,1,Gonzaga,Southern,64,58
731,VCU,88,5,Akron,42,12,0,2013,1,VCU,Akron,88,42
732,Ohio St.,95,2,Iona,70,15,0,2013,1,Ohio St.,Iona,95,70
733,San Diego St.,70,7,Oklahoma,55,10,0,2013,1,San Diego St.,Oklahoma,70,55
734,Florida,79,3,Northwestern St.,47,14,0,2013,1,Florida,Northwestern St.,79,47
735,Harvard,68,14,New Mexico,62,3,0,2013,1,Harvard,New Mexico,68,62
736,Indiana,83,1,James Madison,62,16,0,2013,1,Indiana,James Madison,83,62
737,Michigan St.,65,3,Valparaiso,54,14,0,2013,1,Michigan St.,Valparaiso,65,54
738,North Carolina,78,8,Villanova,71,9,0,2013,1,North Carolina,Villanova,78,71
739,Iowa St.,76,10,Notre Dame,58,7,0,2013,1,Iowa St.,Notre Dame,76,58
740,Memphis,54,6,Saint Mary's,52,11,0,2013,1,Memphis,Saint Mary's,54,52
741,Butler,68,6,Bucknell,56,11,0,2013,1,Butler,Bucknell,68,56
742,Michigan,71,4,South Dakota St.,56,13,0,2013,1,Michigan,South Dakota St.,71,56
743,Mississippi,57,12,Wisconsin,46,5,0,2013,1,Mississippi,Wisconsin,57,46
744,Colorado St.,84,8,Missouri,72,9,0,2013,1,Colorado St.,Missouri,84,72
745,Minnesota,83,11,UCLA,63,6,0,2013,1,Minnesota,UCLA,83,63
746,La Salle,76,13,Mississippi,74,12,0,2013,2,La Salle,Mississippi,76,74
747,Oregon,74,12,Saint Louis,57,4,0,2013,2,Oregon,Saint Louis,74,57
748,Florida,78,3,Minnesota,64,11,0,2013,2,Florida,Minnesota,78,64
749,Miami FL,63,2,Illinois,59,7,0,2013,2,Miami FL,Illinois,63,59
750,Louisville,82,1,Colorado St.,56,8,0,2013,2,Louisville,Colorado St.,82,56
751,Ohio St.,78,2,Iowa St.,75,10,0,2013,2,Ohio St.,Iowa St.,78,75
752,Arizona,74,6,Harvard,51,14,0,2013,2,Arizona,Harvard,74,51
753,Duke,66,2,Creighton,50,7,0,2013,2,Duke,Creighton,66,50
754,Kansas,70,1,North Carolina,58,8,0,2013,2,Kansas,North Carolina,70,58
755,Wichita St.,76,9,Gonzaga,70,1,0,2013,2,Wichita St.,Gonzaga,76,70
756,Michigan,78,4,VCU,53,5,0,2013,2,Michigan,VCU,78,53
757,Florida Gulf Coast,81,15,San Diego St.,71,7,0,2013,2,Florida Gulf Coast,San Diego St.,81,71
758,Indiana,58,1,Temple,52,9,0,2013,2,Indiana,Temple,58,52
759,Michigan St.,70,3,Memphis,48,6,0,2013,2,Michigan St.,Memphis,70,48
760,Marquette,74,3,Butler,72,6,0,2013,2,Marquette,Butler,74,72
761,Syracuse,66,4,California,60,12,0,2013,2,Syracuse,California,66,60
762,Louisville,77,1,Oregon,69,12,0,2013,3,Louisville,Oregon,77,69
763,Marquette,71,3,Miami FL,61,2,0,2013,3,Marquette,Miami FL,71,61
764,Duke,71,2,Michigan St.,61,3,0,2013,3,Duke,Michigan St.,71,61
765,Ohio St.,73,2,Arizona,70,6,0,2013,3,Ohio St.,Arizona,73,70
766,Michigan,87,4,Kansas,85,1,0,2013,3,Michigan,Kansas,87,85
767,Wichita St.,72,9,La Salle,58,13,0,2013,3,Wichita St.,La Salle,72,58
768,Florida,62,3,Florida Gulf Coast,50,15,0,2013,3,Florida,Florida Gulf Coast,62,50
769,Syracuse,61,4,Indiana,50,1,0,2013,3,Syracuse,Indiana,61,50
770,Louisville,85,1,Duke,63,2,0,2013,4,Louisville,Duke,85,63
771,Syracuse,55,4,Marquette,39,3,0,2013,4,Syracuse,Marquette,55,39
772,Wichita St.,70,9,Ohio St.,66,2,0,2013,4,Wichita St.,Ohio St.,70,66
773,Michigan,79,4,Florida,59,3,0,2013,4,Michigan,Florida,79,59
774,Louisville,72,1,Wichita St.,68,9,0,2013,5,Louisville,Wichita St.,72,68
775,Michigan,61,4,Syracuse,56,4,0,2013,5,Michigan,Syracuse,61,56
776,Louisville,82,1,Michigan,76,4,0,2013,6,Louisville,Michigan,82,76
777,Cal Poly,81,16,Texas Southern,69,16,0,2014,0,Cal Poly,Texas Southern,81,69
778,Albany,71,16,Mount St. Mary's,64,16,0,2014,0,Albany,Mount St. Mary's,71,64
779,Tennessee,78,11,Iowa,65,11,0,2014,0,Tennessee,Iowa,78,65
780,N.C. State,74,12,Xavier,59,12,0,2014,0,North Carolina St.,Xavier,74,59
781,Stanford,58,10,New Mexico,53,7,0,2014,1,Stanford,New Mexico,58,53
782,Connecticut,89,7,Saint Joseph's,81,10,0,2014,1,Connecticut,Saint Joseph's,89,81
783,Tennessee,86,11,Massachusetts,67,6,0,2014,1,Tennessee,Massachusetts,86,67
784,Oregon,87,7,BYU,68,10,0,2014,1,Oregon,BYU,87,68
785,Saint Louis,83,5,N.C. State,80,12,0,2014,1,Saint Louis,North Carolina St.,83,80
786,Harvard,61,12,Cincinnati,57,5,0,2014,1,Harvard,Cincinnati,61,57
787,Texas,87,7,Arizona St.,85,10,0,2014,1,Texas,Arizona St.,87,85
788,Pittsburgh,77,9,Colorado,48,8,0,2014,1,Pittsburgh,Colorado,77,48
789,Louisville,71,4,Manhattan,64,13,0,2014,1,Louisville,Manhattan,71,64
790,Iowa St.,93,3,North Carolina Central,75,14,0,2014,1,Iowa St.,North Carolina Central,93,75
791,Syracuse,77,3,Western Michigan,53,14,0,2014,1,Syracuse,Western Michigan,77,53
792,Baylor,74,6,Nebraska,60,11,0,2014,1,Baylor,Nebraska,74,60
793,North Dakota St.,80,12,Oklahoma,75,5,0,2014,1,North Dakota St.,Oklahoma,80,75
794,Villanova,73,2,Milwaukee,53,15,0,2014,1,Villanova,Milwaukee,73,53
795,Arizona,68,1,Weber St.,59,16,0,2014,1,Arizona,Weber St.,68,59
796,Creighton,76,3,Louisiana Lafayette,66,14,0,2014,1,Creighton,Louisiana Lafayette,76,66
797,Kansas,80,2,Eastern Kentucky,69,15,0,2014,1,Kansas,Eastern Kentucky,80,69
798,Mercer,78,14,Duke,71,3,0,2014,1,Mercer,Duke,78,71
799,Gonzaga,85,8,Oklahoma St.,77,9,0,2014,1,Gonzaga,Oklahoma St.,85,77
800,Stephen F. Austin,77,12,VCU,75,5,0,2014,1,Stephen F. Austin,VCU,77,75
801,Dayton,60,11,Ohio St.,59,6,0,2014,1,Dayton,Ohio St.,60,59
802,San Diego St.,73,4,New Mexico St.,69,13,0,2014,1,San Diego St.,New Mexico St.,73,69
803,Wichita St.,64,1,Cal Poly,37,16,0,2014,1,Wichita St.,Cal Poly,64,37
804,Virginia,70,1,Coastal Carolina,59,16,0,2014,1,Virginia,Coastal Carolina,70,59
805,Florida,67,1,Albany,55,16,0,2014,1,Florida,Albany,67,55
806,UCLA,76,4,Tulsa,59,13,0,2014,1,UCLA,Tulsa,76,59
807,Michigan St.,93,4,Delaware,78,13,0,2014,1,Michigan St.,Delaware,93,78
808,North Carolina,79,6,Providence,77,11,0,2014,1,North Carolina,Providence,79,77
809,Kentucky,56,8,Kansas St.,49,9,0,2014,1,Kentucky,Kansas St.,56,49
810,Memphis,71,8,George Washington,66,9,0,2014,1,Memphis,George Washington,71,66
811,Michigan,57,2,Wofford,40,15,0,2014,1,Michigan,Wofford,57,40
812,Wisconsin,75,2,American,35,15,0,2014,1,Wisconsin,American,75,35
813,UCLA,77,4,Stephen F. Austin,60,12,0,2014,2,UCLA,Stephen F. Austin,77,60
814,Stanford,60,10,Kansas,57,2,0,2014,2,Stanford,Kansas,60,57
815,Dayton,55,11,Syracuse,53,3,0,2014,2,Dayton,Syracuse,55,53
816,Connecticut,77,7,Villanova,65,2,0,2014,2,Connecticut,Villanova,77,65
817,Tennessee,83,11,Mercer,63,14,0,2014,2,Tennessee,Mercer,83,63
818,San Diego St.,63,4,North Dakota St.,44,12,0,2014,2,San Diego St.,North Dakota St.,63,44
819,Wisconsin,85,2,Oregon,77,7,0,2014,2,Wisconsin,Oregon,85,77
820,Louisville,66,4,Saint Louis,51,5,0,2014,2,Louisville,Saint Louis,66,51
821,Michigan,79,2,Texas,65,7,0,2014,2,Michigan,Texas,79,65
822,Baylor,85,6,Creighton,55,3,0,2014,2,Baylor,Creighton,85,55
823,Arizona,84,1,Gonzaga,61,8,0,2014,2,Arizona,Gonzaga,84,61
824,Kentucky,78,8,Wichita St.,76,1,0,2014,2,Kentucky,Wichita St.,78,76
825,Virginia,78,1,Memphis,60,8,0,2014,2,Virginia,Memphis,78,60
826,Florida,61,1,Pittsburgh,45,9,0,2014,2,Florida,Pittsburgh,61,45
827,Iowa St.,85,3,North Carolina,83,6,0,2014,2,Iowa St.,North Carolina,85,83
828,Michigan St.,80,4,Harvard,73,12,0,2014,2,Michigan St.,Harvard,80,73
